Curah Hujan (mm),Debit Aliran Air (L/menit),Kemiringan Tanah (derajat),Kategori,Klasifikasi Curah Hujan,Klasifikasi Debit Aliran,Klasifikasi Kemiringan Tanah
2548.8135039273247,56.20761651959623,57.430421662492606,Berpotensi Banjir,Sangat Basah,Banjir,Sedang
2715.1893663724195,57.46069727761495,10.805095652487466,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Rendah
2602.763376071644,60.499408845085284,48.066095668577816,Berpotensi Banjir,Sangat Basah,Banjir,Sedang
2544.8831829968967,65.01190045857975,66.70163127528389,Berpotensi Banjir,Sangat Basah,Banjir,Tinggi
2423.654799338905,56.670149315825505,13.518034561927248,Berpotensi Banjir,Cukup Basah,Banjir,Sangat Rendah
2645.8941130666562,68.48317533241527,80.3617186418984,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Tinggi
2437.5872112626926,67.24637093671805,51.60651333085384,Berpotensi Banjir,Cukup Basah,Banjir,Sedang
2891.7730007820796,50.97380591951057,12.452883866057434,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Rendah
2963.6627605010294,55.072850485136456,27.953088953667216,Berpotensi Banjir,Sangat Basah,Banjir,Rendah
2383.4415188257776,58.922710253184036,86.29405571418503,Berpotensi Banjir,Cukup Basah,Banjir,Sangat Tinggi
2791.7250380826645,52.09255777484948,56.58557864416443,Berpotensi Banjir,Sangat Basah,Banjir,Sedang
2528.8949197529046,56.96951978066994,18.59780542150436,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Rendah
2568.0445610939323,64.80195051235364,33.00356018244492,Berpotensi Banjir,Sangat Basah,Banjir,Rendah
2925.596638292661,63.61028962285651,46.53629006883874,Berpotensi Banjir,Sangat Basah,Banjir,Sedang
2071.036058197887,62.4476885713201,11.676005541418437,Berpotensi Banjir,Cukup Basah,Banjir,Sangat Rendah
2087.1292997015407,64.21056805444691,42.92924108910071,Berpotensi Banjir,Cukup Basah,Banjir,Sedang
2020.2183974403258,54.098473739194034,49.15669083477585,Berpotensi Banjir,Cukup Basah,Banjir,Sedang
2832.619845547938,56.83396229729464,29.494230022498577,Berpotensi Banjir,Sangat Basah,Banjir,Rendah
2778.1567509498504,63.52484964554925,57.091120023358926,Berpotensi Banjir,Sangat Basah,Banjir,Sedang
2870.0121482468194,67.58469526062655,70.25920956737414,Berpotensi Banjir,Sangat Basah,Banjir,Tinggi
2978.618342232764,60.873561076561906,28.86673792845084,Berpotensi Banjir,Sangat Basah,Banjir,Rendah
2799.158564216724,55.65399301891073,59.639992022399014,Berpotensi Banjir,Sangat Basah,Banjir,Sedang
2461.479362252932,50.60470516011965,61.16977943709933,Berpotensi Banjir,Cukup Basah,Banjir,Tinggi
2780.5291762864554,64.20673657948427,85.88322409030728,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Tinggi
2118.274425868933,50.15768207016881,72.2620933837155,Berpotensi Banjir,Cukup Basah,Banjir,Tinggi
2639.9210213275237,57.45358139641991,77.86762158320047,Berpotensi Banjir,Sangat Basah,Banjir,Tinggi
2143.3532874090465,60.610744291255635,49.23359267490201,Berpotensi Banjir,Cukup Basah,Banjir,Sedang
2944.668917049584,68.44222923534386,24.827886958350625,Berpotensi Banjir,Sangat Basah,Banjir,Rendah
2521.8483217500716,51.789890900658,89.6652234367708,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Tinggi
2414.6619399905235,58.118846439365676,20.348460883095967,Berpotensi Banjir,Cukup Basah,Banjir,Rendah
2264.555612104627,50.486263994203156,47.71658554834123,Berpotensi Banjir,Cukup Basah,Banjir,Sedang
2774.2336894342166,56.85221968683181,15.447447939368528,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Rendah
2456.1503322165486,62.4446211767959,85.50806858806556,Berpotensi Banjir,Cukup Basah,Banjir,Sangat Tinggi
2568.4339488686483,55.58135896457197,87.19399526787517,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Tinggi
2018.789800436355,54.194998993112705,67.55112496031788,Berpotensi Banjir,Cukup Basah,Banjir,Tinggi
2617.635497075877,52.314064666541874,37.99942749041351,Berpotensi Banjir,Sangat Basah,Banjir,Rendah
2612.0957227224217,61.542804880406834,30.350592089409947,Berpotensi Banjir,Sangat Basah,Banjir,Rendah
2616.9339968747568,63.90540011809372,31.22426596296379,Berpotensi Banjir,Sangat Basah,Banjir,Rendah
2943.748078514624,63.43914281191645,20.18352203360598,Berpotensi Banjir,Sangat Basah,Banjir,Rendah
2681.820299103483,68.97722041441014,52.064716246137834,Berpotensi Banjir,Sangat Basah,Banjir,Sedang
2359.507900573786,50.054064277870054,21.3453820561182,Berpotensi Banjir,Cukup Basah,Banjir,Rendah
2437.0319537993414,62.94393307788072,35.3384533242765,Berpotensi Banjir,Cukup Basah,Banjir,Rendah
2697.631195927265,62.007844741952795,60.13651807672839,Berpotensi Banjir,Sangat Basah,Banjir,Tinggi
2060.22547162927,61.774792199405766,68.20348876725998,Berpotensi Banjir,Cukup Basah,Banjir,Tinggi
2666.7667154456676,69.25540639680484,11.941816369764897,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Rendah
2670.637869618159,50.33743346740079,44.409278750139194,Berpotensi Banjir,Sangat Basah,Banjir,Sedang
2210.382561073841,63.929648614029006,62.16996758737112,Berpotensi Banjir,Cukup Basah,Banjir,Tinggi
2128.9262976548534,66.27357299403727,78.25967809268103,Berpotensi Banjir,Cukup Basah,Banjir,Tinggi
2315.428350924184,60.19614393243168,48.02598257696659,Berpotensi Banjir,Cukup Basah,Banjir,Sedang
2363.7107709426227,56.67929739193618,87.53646973741482,Berpotensi Banjir,Cukup Basah,Banjir,Sangat Tinggi
2570.1967704178796,65.8168032645481,31.250603803315784,Berpotensi Banjir,Sangat Basah,Banjir,Rendah
2438.6015134623203,51.944858512648494,11.08069653013751,Berpotensi Banjir,Cukup Basah,Banjir,Sangat Rendah
2988.3738380592263,58.840712754598506,48.70022917613889,Berpotensi Banjir,Sangat Basah,Banjir,Sedang
2102.044810748028,60.399047491416766,30.489103601601435,Berpotensi Banjir,Cukup Basah,Banjir,Rendah
2208.8767560948345,63.87912821869095,75.89741376185356,Berpotensi Banjir,Cukup Basah,Banjir,Tinggi
2161.3095178849962,51.81771464064819,28.621813774488967,Berpotensi Banjir,Cukup Basah,Banjir,Rendah
2653.1083254653986,54.55519003075722,34.850337463304506,Berpotensi Banjir,Sangat Basah,Banjir,Rendah
2253.291602539782,58.206031253802514,73.29819448152898,Berpotensi Banjir,Cukup Basah,Banjir,Tinggi
2466.3107728563064,62.46589346040261,67.2114601620288,Berpotensi Banjir,Cukup Basah,Banjir,Tinggi
2244.4255920016026,67.73921562434835,54.644098932581,Berpotensi Banjir,Cukup Basah,Banjir,Sedang
2158.96958364552,62.376523364827534,66.39584495382076,Berpotensi Banjir,Cukup Basah,Banjir,Tinggi
2110.375141164305,52.66922941869869,43.49094908560212,Berpotensi Banjir,Cukup Basah,Banjir,Sedang
2656.3295894652733,69.61160265574566,10.424803809173424,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Rendah
2138.1829513486136,67.43571469510985,10.908410280975405,Berpotensi Banjir,Cukup Basah,Banjir,Sangat Rendah
2196.5823616800535,60.054415222906485,50.89774300589493,Berpotensi Banjir,Cukup Basah,Banjir,Sedang
2368.725170660964,68.44695963593266,16.663278377519937,Berpotensi Banjir,Cukup Basah,Banjir,Sangat Rendah
2820.9932298479353,60.82761587514271,14.086038413540543,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Rendah
2097.101275793061,68.46612135778327,87.24133113099786,Berpotensi Banjir,Cukup Basah,Banjir,Sangat Tinggi
2837.944907498804,66.59794737206687,78.72021117264468,Berpotensi Banjir,Sangat Basah,Banjir,Tinggi
2096.098407893963,69.36572820588594,22.16217817676556,Berpotensi Banjir,Cukup Basah,Banjir,Rendah
2976.459465013396,68.39565621556316,10.05313748721636,Berpotensi Banjir,Sangat Basah,Banjir,Sangat Rendah
2468.651201647702,50.72067634857139,85.33342363118051,Berpotensi Banjir,Cukup Basah,Banjir,Sangat Tinggi
2976.761088190337,53.495440083218796,32.26602386560914,Berpotensi Banjir,Sangat Basah,Banjir,Rendah
2604.8455197450457,57.782693542023715,24.8718082284398,Berpotensi Banjir,Sangat Basah,Banjir,Rendah
2739.2635793983018,69.04285394590842,65.32064862652282,Berpotensi Banjir,Sangat Basah,Banjir,Tinggi
2039.1877922543206,56.000578389518594,18.712299107306094,Berpotensi Banjir,Cukup Basah,Banjir,Sangat Rendah
2282.8069625764097,53.20935287775202,31.171967840224024,Berpotensi Banjir,Cukup Basah,Banjir,Rendah
2120.196561213169,67.7260933217312,88.00757441696372,Berpotensi Banjir,Cukup Basah,Banjir,Sangat Tinggi
